Month,Mean_Temp_diff,Median_Temp_diff,Min_Temp_diff,Max_Temp_diff
1,10.184852995906216,9.3,0,29.2
2,9.923865425268744,9.2,0,28.500000000000004
3,9.635751862295358,9,0,27.599999999999998
4,9.607817618415227,9,0,25.5
5,9.25349812403443,8.399999999999999,0,27.7
6,8.732468761832639,7.800000000000001,0,26.2
7,9.138987624453335,8.2,0,27.3
8,9.89539052496799,8.899999999999999,0,27.799999999999997
9,10.226805291292925,9.3,0,30
10,10.383177570093459,9.6,0,29.9
11,10.346903042241191,9.6,0,32.6
12,10.237108667256562,9.5,0,30.6
